"item_no","brief_description"
"1002","EDP #46489"
"1005","W83 23000.0284 BK84"
"1013","EDP #09917"
"1015","33MM DIA"
"1035","ALLIED 25.75 GEN 2 BLADE"
"1047","EDP #57891"
"1048","U DRILL INSERT"
"1089","11.50mm DIA."
"1091","11.50MM DIA."
"11","3.42807R001 KC7215"
"1154","4.7636 DEGREE DREAMER 2.5 LOC"
"1160","TAP DRILL .6875 DIA 1.293 LOC"
"1162","16.67MM DIA 42.83MM LOC COOLANT FED TAP DRILL"
"117","BGHX15L5PCSRLET KD1410"
"1211","7.0MM DIA."
"124","CCMT3252MF KC9120"
"1246",".3438"" DIA."
"1285","REPLACED WITH SD205A-12.1-56-14R1 (12.1MM DIA)"
"1287","13.50MM DIA."
"131","CCMT3251MF KCP25B"
"1339","8.50MM DIA."
"138","EDP#19405"
"1383","DRILL- REPLACES KC7315 (14.MM DRILL)"
"139","CCMT21.52LF KC9125"
"1406",".500"" DIA"
"1436","REPLACES DWG #1052702KC7015"
"1444","KOMET HOLDER"
"1447","CV50BKR32157"
"1452","EXTENSION"
"1456","1"" SCHUNK HOLDER"
"1459","HOLDER"
"1501","11.00MM DIA."
"150458","spray on lube"
"1505","13.5MM DIA STRAIGHT FLUTE"
"1511","6.8MM DIA STRAIGHT FLUTE"
"1521","DRILL 14.00MM DIA STRAIGHT FLUTE"
"15275","WORK SUPPORT"
"1556","EDP #59984"
"158","EDP #98795"
"1580","EDP 49319"
"1602","STEP DRILL 14.84MM DIA. 61.12MM LOC"
"162","CNHU1606R08 KC520M"
"1632","CAT 50 HOLDER"
"1637","CT-52467"
"1663","INSERT - CARB"
"1715","4.8MM  DRILL"
"1718","SPADE INSERT (OBSOLETE)"
"178","KYON"
"182","CNMG431MN KCP25B"
"185","SPK #36.56.110.04.0"
"199","CNMG432FWKCK15"
"2005","INSERT SCREW  EDP#16723"
"2006","INSERT SCREW - EDP 16717"
"2008","INSERT SCREW"
"2010","INSERT SCREW"
"2012","INSERT SCREW"
"2020","INSERT SCREW"
"2021","INSERT SCREW    - EDP 01577"
"2022","INSERT SCREW"
"2048","INSERT SCREW"
"2082","INSERT SCREW"
"2115","INSERT  EDP 5760148"
"2124","SCREW"
"2141","SCREW"
"2143","SCREW"
"2144","INSERT SCREW"
"2145","INSERT SCREW"
"2192","CV40BHC12M375"
"2193","CAT 40 HOLDER"
"220","replaced CPMT2151LFKC9110"
"2219","M8X1.25"
"222","CPMT2152LFKC5010"
"2241","KOMET DRILL-replaced U12 22541"
"2259","SINGLE ACTING SWING CLAMP RH #5000"
"2269","3/4-10 TAP"
"227","CPGT2151LFKC5010"
"2276","COLLET"
"2293","CAT40 HOLDER"
"2305","EDP # 46768 replaced TK2001"
"2313","EDP #46692  (REPLACED TK 1001)"
"2318","EDP #26691 INSERT HOLDER (EPB)"
"2332","EDP #03931 3"" MILLING CUTTER"
"2336","SANDVIK INSERT"
"2340","SANDVIK INSERT"
"2349","EDP #27513   INSERTS"
"2354","COLLET CHUCK"
"2357","EDP #58582"
"2363","CHAMFER TOOL FOR SLIP YOKES"
"2364","CHAMFER TOOL FOR SLIP YOKES"
"2373","ALLIED INSERT SCREW"
"2378","INSERT SCREW"
"2397","EDP #19404"
"2398","EDP #27860  INSERTS  REPLACES TP2000"
"2399","ICT-5100115"
"2403","BORING BAR"
"2423","110050"
"2426","76.20 SEALED COLLETS"
"2427","3.503 DIA SEALED COLLET"
"2429","SPECIAL CAT40 BORING BAR (FRIG HUB)"
"2433","INSERTS"
"244","CPMT3252LFKC9125"
"2441","EDP #55333"
"2443","CAT40 HOLDER"
"2444","TOOLHOLDER"
"2445","TOOLHOLDER"
"2472","EDP #21832"
"2474","WALTER FACEMILL FOR BOSCH COVERS"
"2475","WALTER INSERT"
"2476","WALTER INSERT"
"2477","COLLET FOR DURANGO"
"2478","EDP #17956 9MM CARBIDE DRILL"
"2481","CARTRIDGE"
"2483","CARTRIDGE"
"2498","#2 T-A 1-9/32 SPADE BLADE"
"2510","YG-1 8.5MM DRILLS"
"252","CPMT2152FWKC5010"
"2524","MCLNR 165C"
"2538","REPLACING CT-52299"
"2563","INSERTS"
"2566","INSERTS  REPLACED KC9315"
"2567","CPMT2152LFKCK15"
"2571","ICT-3240409 (CAMECO)"
"2573","YG-1 11/32 DRILLS"
"2574","12.5MM CARBIDE DRILLS"
"258","DI-0.541 A5M"
"2584","EDP #15058"
"2592","1/8-27X6"" NPT TAP"
"2593","9/16 (14MM) ENDMILL"
"2599","TOOLHOLDER"
"2605","ICT #3040743 FACE MILL FOR TELEFLEX"
"2606","DELLNER HYDRO CHUCK"
"2610","POLY-V 3225 P-K4"
"262","DFT05T308MDKC7140"
"2630","YG-1 13MM CARBIDE DRILL"
"2634","INSERTS"
"2644","SEFAS TOOLHOLDER"
"2657","CAT40 V FLANGE HOLDER"
"2658","EDP #19032 13.5MM CARBIDE DRILL"
"2661","DELLNER HOLDER replaced by 95mm"
"2664","HOLDER"
"2669","INSERTS"
"267","DFT030304MDKC720"
"2671","INSERTS"
"2672","INSERTS"
"2674","INSERT OLD ETD #404548"
"2718","ARBOR FOR BV KNUCKLES"
"272","DWG #1558004R00 KC5010"
"2720","CV40EM075575"
"2727","BORING BAR"
"273","DWG #1555978R00 KC5010"
"2732","EDP #31366"
"2736","MANUAL PALLET VALVE"
"2753","INSERTS"
"2760","ICT-5840640"
"2771","INSERTS- REPLACES KC9325"
"2785","CT-52670"
"2786","CAT40 HOLDER"
"2787","CAT50 HOLDER"
"2795","HOLDER"
"2804","PARLEC HOLDER"
"2806","CT-52632 REV. A  (CCC-23049)"
"2807","CT-53019"
"2810","ROMICRON EXTENSION"
"2814","CV40BHCSL050669"
"2827","HOLDER"
"2830","12.08MM ROCK RIVER REAMER"
"2833","SCHUNK HOLDER"
"2834","SCHUNK HOLDER"
"2844","CAT40 HOLDER"
"2847","HOLDER"
"2853","PRESSURE GAGE"
"2854","HYTEC GAGE"
"2856","TOOLHOLDER"
"2859","CT-53020"
"2861","ROMICRON EXTENSION"
"2865","LYNDEX HOLDER"
"2866","LYNDEX HOLDER"
"2877","11.7MM DIA. 17MM LENGTH OF CUT STEP DRILL"
"290","EDP 39906"
"2909","COLLET - TG100-1000"
"2923","COLLET"
"2948","8.7MM DIA. 25MM LENGTH OF STEP"
"2952","3.240 DIA COLLETS"
"2961","EXTENSION"
"2962","C50 X KA4 X D7.8 KAISER TOOLHOLDER"
"2965","HOLDER"
"2966","replaced CT-60122 BORING TOOL 31.50MM DIA. 38.1DOC"
"2967","HOLDER"
"2968","HOLDER"
"297","NG3M150RKKC730"
"2992","INSERT"
"2993","18.00MM DIA."
"2994","18.00MM DIA. DRILL"
"30","EDP # 96510"
"3000","12.5MM DIA 61.23MM LOC SOLID CARBIDE G DRILL"
"3001","BRAZED TIPPED 15 DEG. TAPER NOSE DIA..970 1.75 LOC"
"3003","DRILL"
"3008","INSERT"
"3009","EZ-BURR DEBURR"
"3010","INSERT"
"3021","INSERT"
"3022","INSERT: EDP# 91357"
"3024","INSERT    EDP 5869105"
"3030","38.36.56.037.04.0.1"
"3040","HOLDER"
"3050","TAP M6 X1 D5 3FL BOTTOM EXO-DC DIN OH TICN"
"3051","6.7MM DIA. DRILL"
"3054","HOLDER"
"3056","INSERT - CROWN LOCK"
"3061","INSERT"
"3067","30.382MM Rock River Tool"
"3071","BLADE"
"3081","12 MM HYDRAULIC CHUCK 101.6 MM PROJECTION"
"3084","INSERT SCREW"
"3085","COLLET"
"3086","INSERT SCREW"
"3087","INSERT SCREW"
"3088","75TGC100M"
"3090","75TGC140M"
"3091","COLLET"
"3093","75TGC120M"
"3101","HOLDER"
"3103","HOLDER"
"3107","HOLDER"
"3108","CUTTER"
"3110","HOLDER"
"3113","HOLDER"
"3114","HOLDER"
"3117","HOLDER"
"3118","CUTTER BODY"
"3121","HOLDER"
"3126","SHRINK FIT HOLDER"
"3127","HOLDER"
"3128","HOLDER"
"3132","PARLEC HOLDER"
"3133","HOLDER"
"3136","HOLDER"
"3142","CAT40-C1.1/4-120U"
"3144","INSERT SCREW"
"3145","434.9-824"
"3146","3411 011-064"
"3148","DLS-7"
"3149","32ER200M"
"3150","CV40BER32600"
"3151","25ER100M"
"3152","HOLDER"
"3153","75TGST037"
"3170","RMC CSN533"
"3172","NL-58"
"3173","CL-12"
"3174","XNS-510"
"3175","CV50BSMC150600"
"3176","FACEMILL 3040746"
"3178","NLC-43"
"3179","CLM-6"
"3180","XNSC-0515"
"3181","CV50EM150800"
"3182","CAT50-C1.1/4-105"
"3183","R335.10-32080.3-04-6"
"3184","EM2504 401 36120"
"3187","KRCSCFPR061C"
"3188","KRCSCFPR062B"
"3189","CV50BTG0501000"
"3190","50TGC0344"
"3191","50TGST012P"
"3193","CAT-50-.750-9"
"3194","1.00"" DIA  6.00"" GAGE LENGTH"
"3198","CV40KR32157"
"3199","KRCSCFPR061A"
"3201","OR SK25-1"""
"3202","COOLANT DISK"
"3203","COOLANT NUT"
"3204","CAT40-SK25-90U"
"3208","50TG060M"
"3216","BT30ER25060M"
"3224","Insert Screw SVK40562"
"3228","TG100-0797"
"3236","INSERT SCREW"
"3241","75TGC0750"
"3243","ER16-M080"
"3244","M6 X 1 FORMING TAP"
"3245","TER16-255"
"3246","COLLET"
"3250","50TGST037"
"3256","75TGC0500"
"3257","50TGC0500"
"3262","INSERT SCREW SANDVIK"
"3268","416.1-832"
"3269","CCC-10749"
"3270","SCREW"
"3271","438.3-824"
"3272","100TGC1000"
"3274","1/4-20X3/4 LHCS"
"3275","CCC-10750"
"3276","3/4"" END MILL HOLDER"
"3277","DRILL INSERT SCREW"
"3278","A-9278"
"3279","INSERT SCREW"
"3280","ANVIL"
"3281","BLADE LOCK"
"3282","ANVIL LOCK"
